Cde_Pays;Pays;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AUT;Autriche;311860,65;315663,85;323650,52;331256,87;341905,76;354836,57;360161,04;347230,22;353315,29;363964,22;366246,12;365105,17;368147,70;372711,52;380698,18;389445,51;398953,44;405799,16;380317,88;398953,46;420251,26;416828,41;414166,16
BEL;Belgique;372855,73;376565,74;390014,53;399289,51;409492,04;424332,08;426187,07;418303,29;429433,32;437780,85;438708,38;440099,63;447983,39;454475,90;460040,90;466533,40;475344,69;486938,44;463750,90;492967,20;512444,73;521255,99;526821,02
DEU;Allemagne;2867548,45;2850294,81;2884802,04;2908957,05;3022830,90;3109098,89;3136704,58;2964168,31;3084943,59;3202268,03;3216070,89;3229873,74;3298888,37;3354099,87;3430015,85;3523185,13;3564593,58;3599101,04;3450720,00;3585298,17;3650861,66;3619805,43;3599101,09
ESP;Espagne;992579,06;1021938,73;1053556,70;1090820,75;1135989,31;1175511,80;1184545,47;1140506,14;1141635,41;1133730,89;1100983,69;1085174,70;1102112,85;1147281,40;1180028,58;1213905,09;1243264,62;1268107,33;1129214,00;1204871,35;1281657,94;1313275,94;1358444,41
EST;Estonie;16632,00;17885,66;19111,47;20922,33;22956,05;24711,19;23429,66;20002,97;20504,44;22064,56;22872,48;23262,51;24042,57;24488,32;25240,52;26661,34;27664,27;28695,07;27859,29;30171,61;29781,58;28973,66;28945,80
FIN;Finlande;195728,44;199747,03;207547,79;213457,47;221967,40;233786,75;235677,83;216530,50;223385,72;228822,61;225276,81;223149,34;221967,39;223149,32;228822,61;236386,99;239223,64;242533,06;236387,00;242769,44;244660,56;241351,12;242296,68
FRA;France;2002990,66;2023855,18;2081812,11;2121222,67;2176861,26;2232499,99;2241773,00;2179179,60;2220908,56;2276547,31;2281183,83;2297411,82;2320594,52;2346095,39;2366960,08;2415643,85;2455054,46;2503738,35;2318276,20;2478237,31;2545467,38;2582559,60;2612697,38
GRC;Grèce;190827,51;201885,11;212775,19;215288,29;229194,05;237235,96;237403,50;227518,66;214618,12;193340,60;177256,81;173235,86;174576,18;174241,10;174241,09;176754,20;180440,06;184461,02;167539,52;182115,46;192167,83;196188,78;200209,73
IRL;Irlande;169105,82;174450,02;186283,59;196972,01;206515,21;217585,35;207660,40;197353,73;200407,56;203843,11;203079,66;207278,67;226746,85;282860,97;286296,53;315307,89;339356,81;356152,86;381728,69;443950,48;477160,86;464945,54;477160,87
ITA;Italie;1810292,84;1811962,88;1838683,07;1852043,29;1885443,53;1913833,65;1893793,47;1793592,69;1820312,89;1833672,97;1776892,73;1743492,42;1743492,48;1760192,49;1781902,60;1810292,99;1825323,09;1832003,01;1670011,90;1818642,98;1907153,63;1925523,74;1938883,74
LTU;Lituanie;26037,07;28801,62;30661,41;33023,85;35486,81;39407,45;40412,74;34431,26;34582,05;36743,43;38351,90;39910,10;41418,04;42574,12;43730,21;45740,80;48002,70;50264,61;50264,61;53481,55;54788,43;55190,54;56899,54
LUX;Luxembourg;41731,01;42827,50;44633,47;45729,96;48503,43;52437,88;52308,89;50567,41;52502,38;53018,38;53921,37;55598,35;57081,83;58371,81;61274,28;62112,77;63080,26;64821,74;64499,24;68949,69;68240,20;68304,70;68498,19
LVA;Lettonie;17739,18;19229,61;20924,63;23350,25;26331,13;29078,22;28113,82;23584,04;22736,54;23408,70;25132,93;25658,97;26185,01;27178,64;27880,02;28815,20;30071,85;30276,42;29224,34;31240,82;31854,53;31562,29;31533,06
NLD;Pays-Bas;661324,45;661985,76;675225,46;688729,97;712835,55;740636,13;756189,43;728210,44;737677,20;750955,39;743445,84;743445,85;755340,94;771203,14;789711,98;811823,94;830495,91;849597,28;816463,00;867900,15;911295,20;897282,69;915500,49
PRT;Portugal;196408,94;194599,65;198017,22;199625,48;202842,01;207867,81;208671,95;202037,88;205656,46;202037,86;193795,54;191986,24;193393,47;196408,95;200429,60;207063,69;213094,67;218924,61;201032,71;212290,55;226965,92;234002,08;239027,89
SVK;République slovaque;50650,15;53102,48;56026,43;59610,60;64986,88;71966,60;75833,75;71683,64;76588,31;78474,72;79700,89;80266,81;82436,18;86774,94;88472,70;91019,36;94697,86;96867,24;94320,58;99696,85;100168,45;102337,83;104318,56
